"source_id","normalized_doi","normalized_title","found_in_folder_06","evidence","new_source_flag"
"P023","10.1063/1.5028142","megagauss level magnetic field production in cm scale auto magnetizing helical liners pulsed to 500 ka in 125 ns","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P024","10.1063/1.5089468","implosion of auto magnetizing helical liners on the z facility","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P025","10.1063/5.0076741","bdot probe and rogowski coil cross calibration and sensor fusion in pulsed direct current capacitor discharges","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P026","10.1063/5.0218390","neutron producing gas puff z pinch experiments on a fast low impedance 0 5 ma linear transformer driver","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P027","10.1063/5.0084550","investigating radiatively driven magnetized plasmas with a university scale pulsed power generator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P028","10.3390/electronics8111310","hall effect current sensors susceptibility to emi experimental study","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P029","10.1063/5.0220464","current loss experiments of a conical mitl and phc system on a megaampere class ltd module","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P030","10.1063/1.4921217","diagnosing magnetized liner inertial fusion experiments on z","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P031","10.1063/1.5024374","design and testing of a magnetically driven implosion peak current diagnostic","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P032","10.1063/1.3509400","note zeeman splitting measurements in a high temperature plasma","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P033","10.1088/1742-6596/1115/2/022012","using of b dot probe for z pinch plasma diagnostics","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P034","10.1017/s0022377814001184","laboratory plasma physics experiments using merging supersonic plasma jets","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P035","10.1063/5.0004228","z pinch fusion","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P036","10.1063/1.4773320","experimental characterization of railgun driven supersonic plasma jets motivated by high energy density physics applications","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P037","10.1080/15361055.2025.2532331","century zap energy s 100 kw scale repetitive sheared flow stabilized z pinch system with liquid metal cooling","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P038","10.1088/1361-6668/ab5e12","composite stacks for reliable 17 t trapped fields in bulk superconductor magnets","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P039","10.1088/1361-6668/ab66e7","flux jumps in ring shaped and assembled bulk superconductors during pulsed field magnetization","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P040","10.1088/1361-6668/aad34c","a trapped field of 17 7 t in a stack of high temperature superconducting tape","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P041","10.1088/0953-2048/27/8/082001","a trapped field of 17 6 t in melt processed bulk gd ba cu o reinforced with shrink fit steel","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P042","10.1088/1361-6668/ac2120","development of a persistent mode nmr magnet with superconducting joints between high temperature superconductors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P043","10.1088/1361-6668/ac74e7","portable desktop high field magnet systems using bulk single grain re ba cu o high temperature superconductors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P044","10.1088/1361-6668/acfcdf","magnetisation and demagnetisation of trapped field stacks in a superconducting machine for electric aircraft","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P045","10.1088/1361-6668/abda5b","stability model of bulk hts field pole of a synchronous rotating machine under load conditions","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P046","10.1109/tasc.2020.2976603","testing of surface mounted superconducting stacks as trapped flux magnets in a synchronous machine","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P047","10.1109/77.919740","high field scanning hall probe imaging of high temperature superconductors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P048","10.1088/0953-2048/22/2/025011","assessing the spatial and field dependence of the critical current density in ybco bulk superconductors by scanning hall probes","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P049","10.1016/s0921-4526(00)00748-1","high precision pick up coils for pulsed field magnetization measurements","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P050","10.1016/j.tsf.2006.07.023","hall sensors made of n insb gaas epitaxial layers for low temperature applications","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P051","10.1016/j.sna.2006.03.037","temperature coefficients of hall sensors made of insb gaas epitaxial layers","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P052","10.1038/s41598-018-37371-3","a rotating coil magnetometer for scanning transversal field harmonics in accelerator magnets","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P053","10.3390/s22218359","rotating coil measurement system for small bore diameter magnet characterization","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P054","10.1109/tmag.2020.3005722","a rotating coil scanner for the precise magnetic characterization of superconducting accelerator magnets at ambient temperature","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P055","10.3390/electronics10172140","development of a real time magnetic field measurement system for synchrotron control","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P056","10.3390/metrology5020022","portable magnetic field mapping measurement system based on large scale dipole magnets in hiaf","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P057","10.1063/1.3675578","in situ calibration of rotating sensor coils for magnet testing","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P058","10.1016/0168-9002(96)37493-7","a high precision magnetometer based on pulsed nmr","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P059","10.1016/j.measurement.2019.107228","using proton nuclear magnetic resonance nmr as a calibrating reference for magnetic field measurement instruments sensitive volume and magnetic field homogeneity","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P060","10.1029/2023ja031369","on the impact of thermal gradients across fluxgate sensors on in situ magnetic field measurements","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P061","10.3390/s21041500","recent progress of fluxgate magnetic sensors basic research and application","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P062","10.3390/s120404447","gamma irradiation of magnetoresistive sensors for planetary exploration","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P063","10.1007/s11433-025-2784-y","radiation tolerance of tunneling magnetoresistance sensors under bias voltage","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P064","10.1016/j.sna.2024.116174","a comprehensive review of tmr current sensors for smart grids materials optimization methods and applications","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P065","10.3390/s24134384","planar hall effect magnetic sensors with extended field range","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P066","10.1016/j.fusengdes.2018.11.011","effect of faraday mirror imperfections in a fiber optic current sensor dedicated to iter","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P067","10.1134/s1063778825130101","fiber optic current sensor concept for the t 15md tokamak","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P068","10.1063/5.0258240","precision magnetometry at cryogenic temperatures with gaseous 3he nmr probes","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P069","10.1063/1.2354545","superconducting quantum interference device instruments and applications","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P070","10.1029/rg014i004p00591","magnetometers using rf driven squids and their applications in rock magnetism and paleomagnetism","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P071","10.1088/0034-4885/77/5/056503","magnetometry with nitrogen vacancy defects in diamond","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P072","10.1016/j.physrep.2013.02.001","the nitrogen vacancy colour centre in diamond","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P073","10.1109/jsen.2010.2043429","advances in magnetic field sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P074","10.1088/1741-4326/ac2dbe","an overview of magneto inertial fusion on the z machine at sandia national laboratories","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P075","10.1088/0954-3899/43/12/125004","precision magnetic field mapping for cern experiment na62","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P076","10.1088/1361-6668/ace2ef","optimisation of stacked bulk high temperature superconductors for trapped field magnet applications","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H067","10.1016/j.fusengdes.2021.112398","calibration of the iter outer vessel steady state magnetic sensors","S0148","same normalized DOI as folder-06 row S0148","reused"
"H068","10.1016/j.fusengdes.2017.03.043","final design of the iter outer vessel steady state magnetic sensors","S0149","same normalized DOI as folder-06 row S0149","reused"
"P077","10.1016/j.fusengdes.2010.07.021","tokamak field error measurements with an electron beam in kstar","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
