paper_id,doi,title,authors,year,venue,publisher,publication_type,peer_review_status,publisher_url,topic_stream,relevance,evidence_status,access_status,correction_status,retraction_status,notes
P0041,10.1109/tasc.2013.2283855,"Effect of Winding Tension on Electrical Behaviors of a No-Insulation ReBCO Pancake Coil","Kwang Lok Kim; Seungyong Hahn; Youngjae Kim; Dong Gyu Yang; Jung-Bin Song; Juan Bascunan; Haigun Lee; Yukikazu Iwasa",2013,"IEEE Transactions on Applied Superconductivity, vol. 24, issue 3, art. 4600605","IEEE",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7453491/,hts_quench_current,"Early no-insulation-coil winding/electrical-behavior study; seminal older reference for hts_quench_current no-insulation sub-topic",accepted_core,"verified via NIH PMC author-manuscript mirror PMC7453491; IEEE Xplore direct access not attempted this session","none found on PMC record","none found on PMC record","Seminal (2013) item for hts_quench_current no-insulation-coil literature. Metadata taken from PMC citation record. Accessed 2026-07-28."
P0042,10.1109/tasc.2015.2393058,"Analyses of Transient Behaviors of No-Insulation REBCO Pancake Coils During Sudden Discharging and Overcurrent","Tao Wang; So Noguchi; Xudong Wang; Issei Arakawa; Katsuhiko Minami; Katsutoshi Monma; Atsushi Ishiyama; Seungyong Hahn; Yukikazu Iwasa",2015,"IEEE Transactions on Applied Superconductivity, vol. 25, issue 3, art. 4603409","IEEE",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7500416/,hts_quench_current,"Transient/overcurrent behavior modeling of no-insulation REBCO coils; directly topical to hts_quench_current sub-topic",accepted_core,"verified via NIH PMC author-manuscript mirror PMC7500416; IEEE Xplore direct access not attempted this session","none found on PMC record","none found on PMC record","Metadata taken from the PMC citation record for the published IEEE TAS version. Accessed 2026-07-28."
P0043,10.1063/5.0122493,"On fault-mode phenomenon in no-insulation superconducting magnets: A preventive approach","Fangliang Dong; Dongkeun Park; Wooseung Lee; Luning Hao; Zhen Huang; Juan Bascunan; Zhijian Jin; Yukikazu Iwasa",2022,"Applied Physics Letters, vol. 121, issue 19, art. 194101","AIP Publishing",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC9652021/,hts_quench_current,"Fault-mode/preventive-protection study for no-insulation superconducting magnets; directly topical to hts_quench_current sub-topic",accepted_core,"verified via NIH PMC author-manuscript mirror PMC9652021; pubs.aip.org direct access for a different AIP item (AIP Advances) returned HTTP 403 earlier this session and was not retried for this item","none found on PMC record","none found on PMC record","Received 24 Aug 2022, accepted 22 Oct 2022. Accessed 2026-07-28."
P0044,10.3390/ma12152374,"Study on Quenching Characteristics and Resistance Equivalent Estimation Method of Second-Generation High Temperature Superconducting Tape under Different Overcurrent","Siyuan Liang; Li Ren; Tao Ma; Ying Xu; Yuejin Tang; Xiangyu Tan; Zheng Li; Guilun Chen; Sinian Yan; Zhiwei Cao; Jing Shi; Leishi Xiao; Meng Song",2019,"Materials, vol. 12, issue 15, art. 2374","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC6695643/,hts_quench_current,"Quenching-characteristics/resistance-estimation study for 2G HTS tape under overcurrent; directly topical to hts_quench_current sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC6695643","none found on PMC record","none found on PMC record","Received 6 Jun 2019, accepted 24 Jul 2019; CC BY. Accessed 2026-07-28."
P0045,10.1186/2193-1801-2-599,"Temporal resistance variation of the second generation HTS tape during superconducting-to-normal state transition","Vladimir A Malginov; Andrey V Malginov; Leonid S Fleishman",2013,"SpringerPlus, vol. 2, art. 599","Springer-Verlag",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC3828451/,hts_quench_current,"Resistance-transition-timing study for 2G HTS tape; seminal-adjacent older reference for hts_quench_current",accepted_core,"verified via PubMed Central open-access mirror PMC3828451","none found on PMC record","none found on PMC record","Received 16 May 2013, accepted 1 Nov 2013; open-access SpringerPlus article. Accessed 2026-07-28."
P0046,10.1093/nsr/nwad001,"Review of progress and challenges of key mechanical issues in high-field superconducting magnets","You-He Zhou; Dongkeun Park; Yukikazu Iwasa",2023,"National Science Review, vol. 10, issue 3, art. nwad001","Oxford University Press (on behalf of China Science Publishing & Media Ltd)",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10065139/,hts_quench_current,"Review of mechanical/quench-related challenges in high-field HTS magnets, including no-insulation quench protection; directly topical to hts_quench_current",accepted_core,"verified via PubMed Central open-access mirror PMC10065139","none found on PMC record","none found on PMC record","Received 27 Jun 2022, revised 21 Oct 2022, accepted 4 Jan 2023. Accessed 2026-07-28."
P0047,10.3390/s23146512,"Three-Phase Motor Inverter and Current Sensing GaN Power IC","Stefan Monch; Richard Reiner; Michael Basler; Daniel Grieshaber; Fouad Benkhelifa; Patrick Waltereit; Rudiger Quay",2023,"Sensors, vol. 23, issue 14, art. 6512","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10383237/,power_conversion,"Integrated GaN power-IC inverter with on-chip current sensing; directly topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10383237","none found on PMC record","none found on PMC record","Received 9 Jun 2023, revised 30 Jun 2023, accepted 12 Jul 2023; CC BY. Accessed 2026-07-28."
P0048,10.3390/s23104626,"A Nonlinear-Model-Based High-Bandwidth Current Sensor Design for Switching Current Measurement of Wide Bandgap Devices","Xia Du; Liyang Du; Yuxiang Chen; Yuqi Wei; Andrea Stratta; Homer Alan Mantooth",2023,"Sensors, vol. 23, issue 10, art. 4626","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10221569/,power_conversion,"High-bandwidth current-sensor design for WBG switching-current measurement; directly topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10221569","none found on PMC record","none found on PMC record","Received 21 Mar 2023, revised 1 May 2023, accepted 3 May 2023. Accessed 2026-07-28."
P0049,10.1007/s10439-023-03319-6,"Piezoelectric Transformer-Based High-Voltage Pulse Generator Using Wide-Bandgap Semiconductors for Medical Electroporation Therapy","Ajay M Chole; Maeve Duffy",2023,"Annals of Biomedical Engineering, vol. 52, issue 1, pp. 36-47","Springer",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10761399/,power_conversion,"WBG-semiconductor specialized high-voltage pulse converter/supply design; topical to power_conversion specialized-converter sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10761399","none found on PMC record","none found on PMC record","Associate Editor Rafael Vidal Davalos oversaw review per the article notice; CC BY 4.0. Accessed 2026-07-28."
P0050,10.3390/s23146481,"Current Sensor Integration Issues with Wide-Bandgap Power Converters","Ali Parsa Sirat; Babak Parkhideh",2023,"Sensors, vol. 23, issue 14, art. 6481","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10386427/,power_conversion,"Current-sensor integration challenges specific to WBG power converters; directly topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10386427 (PMID 37514775)","none found on PMC record","none found on PMC record","Received 16 Jun 2023, revised 12 Jul 2023, accepted 13 Jul 2023; CC BY. Accessed 2026-07-28."
P0051,10.1038/s41598-024-55426-6,"Hybrid multimodule DC-DC converters accelerated by wide bandgap devices for electric vehicle systems","Abdul Waheed; Saif ur Rehman; Faisal Alsaif; Shoaib Rauf; Ismail Hossain; Mukesh Pushkarna; Fsaha Mebrahtu Gebru",2024,"Scientific Reports, vol. 14, art. 4746","Springer Nature (Nature Publishing Group)",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10899663/,power_conversion,"WBG-accelerated hybrid multimodule DC-DC converter design; directly topical to power_conversion specialized-converter sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10899663","none found on PMC record","none found on PMC record","Received 29 Dec 2023, accepted 23 Feb 2024. Accessed 2026-07-28."
P0052,10.1016/j.fmre.2021.11.028,"A review on the GaN-on-Si power electronic devices","Yaozong Zhong; Jinwei Zhang; Shan Wu; Lifang Jia; Xuelin Yang; Yang Liu; Yun Zhang; Qian Sun",2021,"Fundamental Research, vol. 2, issue 3, pp. 462-475","Elsevier B.V. (on behalf of KeAi Communications)",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC11197798/,power_conversion,"Review of GaN-on-Si power device technology; directly topical to power_conversion WBG-device sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC11197798","none found on PMC record","none found on PMC record","Received 2 Sep 2021, revised 18 Nov 2021, accepted 24 Nov 2021. Accessed 2026-07-28."
P0053,10.3390/mi15010080,"Review on Main Gate Characteristics of P-Type GaN Gate High-Electron-Mobility Transistors","Zhongxu Wang; Jiao Nan; Zhiwen Tian; Pei Liu; Yinhe Wu; Jincheng Zhang",2024,"Micromachines, vol. 15, issue 1, art. 80","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10818513/,power_conversion,"Review of p-GaN gate HEMT device characteristics relevant to gate-drive design; topical to power_conversion gate-drive sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10818513","none found on PMC record","none found on PMC record","Received 4 Oct 2023, revised 14 Nov 2023, accepted 27 Nov 2023; published Jan 2024. Accessed 2026-07-28."
P0054,10.3390/mi14101937,"Vertical GaN MOSFET Power Devices","Catherine Langpoklakpam; An-Chen Liu; Yi-Kai Hsiao; Chun-Hsiung Lin; Hao-Chung Kuo",2023,"Micromachines, vol. 14, issue 10, art. 1937","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10609112/,power_conversion,"Review of vertical GaN MOSFET power-device technology; directly topical to power_conversion WBG-device sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10609112","none found on PMC record","none found on PMC record","Received 13 Sep 2023, revised 13 Oct 2023, accepted 14 Oct 2023; CC BY. Accessed 2026-07-28."
P0055,10.3390/s20154080,"Integrated Rogowski Coil Sensor for Press-Pack Insulated Gate Bipolar Transistor Chips","Chaoqun Jiao; Zuoming Zhang; Zhibin Zhao; Xiumin Zhang",2020,"Sensors, vol. 20, issue 15, art. 4080","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7435420/,power_conversion,"Rogowski-coil current-sensing integration for power-device (IGBT) chips; directly topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC7435420","none found on PMC record","none found on PMC record","CC BY licensed peer-reviewed MDPI Sensors article. Accessed 2026-07-28."
P0056,10.3390/s19194176,"Research on Small Square PCB Rogowski Coil Measuring Transient Current in the Power Electronics Devices","Chaoqun Jiao; Juan Zhang; Zhibin Zhao; Zuoming Zhang; Yuanliang Fan",2019,"Sensors, vol. 19, issue 19, art. 4176","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC6806593/,power_conversion,"PCB Rogowski-coil transient-current sensing for power-electronics devices; directly topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC6806593 (PMID 31561541)","none found on PMC record","none found on PMC record","Received 11 Aug 2019, accepted 24 Sep 2019. Accessed 2026-07-28."
P0057,10.3390/mi10060406,"Silicon Carbide Converters and MEMS Devices for High-temperature Power Electronics: A Critical Review","Xiaorui Guo; Qian Xun; Zuxin Li; Shuxin Du",2019,"Micromachines, vol. 10, issue 6, art. 406","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC6631602/,power_conversion,"Critical review of SiC converter technology for high-temperature power electronics; directly topical to power_conversion SiC sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC6631602","none found on PMC record","none found on PMC record","Received 14 Apr 2019, accepted 17 Jun 2019; CC BY. Accessed 2026-07-28."
P0058,10.3390/mi12111284,"Impact of III-Nitride/Si Interface Preconditioning on Breakdown Voltage in GaN-on-Silicon HEMT","Abdelkrim Khediri; Abbasia Talbi; Abdelatif Jaouad; Hassan Maher; Ali Soltani",2021,"Micromachines, vol. 12, issue 11, art. 1284","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC8622694/,power_conversion,"GaN-on-Si HEMT breakdown-voltage device study; topical to power_conversion WBG-device reliability sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC8622694","none found on PMC record","none found on PMC record","Academic editor Giovanni Verzellesi. Accessed 2026-07-28."
P0059,10.3390/mi12060617,"E/D-Mode GaN Inverter on a 150-mm Si Wafer Based on p-GaN Gate E-Mode HEMT Technology","Li-Fang Jia; Lian Zhang; Jin-Ping Xiao; Zhe Cheng; De-Feng Lin; Yu-Jie Ai; Jin-Chao Zhao; Yun Zhang",2021,"Micromachines, vol. 12, issue 6, art. 617","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC8230248/,power_conversion,"GaN power-inverter IC fabrication study; directly topical to power_conversion sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC8230248","none found on PMC record","none found on PMC record","Peer-reviewed with three named academic editors; CC BY. Accessed 2026-07-28."
P0060,10.3390/s23104749,"Design and Optimization of Multi-Stage TMR Sensors for Power Equipment AC/DC Leakage Current Detection","Xiaoxu Hu; Xuetao Duan; Wei Zhang; Yameng Fu; Yongfu Li; Pengcheng Zhao; Xudong Deng; Chuanxiang Yu; Jingang Wang",2023,"Sensors, vol. 23, issue 10, art. 4749","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10224531/,power_conversion,"TMR-based current-sensing design for power-equipment leakage detection; topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10224531","none found on PMC record","none found on PMC record","Received 21 Mar 2023, revised 10 May 2023, accepted 11 May 2023; editors Krzysztof Bernacki and Mateja Novak. Accessed 2026-07-28."
P0061,10.3390/s20010323,"High Sensitivity Differential Giant Magnetoresistance (GMR) Based Sensor for Non-Contacting DC/AC Current Measurement","Cristian Musuroi; Mihai Oproiu; Marius Volmer; Ioana Firastrau",2020,"Sensors, vol. 20, issue 1, art. 323","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC6982712/,power_conversion,"GMR-based non-contact current-sensing design; topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC6982712","none found on PMC record","none found on PMC record","Peer-reviewed MDPI Sensors open-access article. Accessed 2026-07-28."
P0062,10.3390/s19081882,"Quasi-Static Current Measurement with Field-Modulated Spin-Valve GMR Sensors","Jen-Tzong Jeng; Xuan-Thang Trinh; Chih-Hsien Hung; Chih-Cheng Lu",2019,"Sensors, vol. 19, issue 8, art. 1882","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC6515315/,power_conversion,"Spin-valve GMR quasi-static current-sensing design; topical to power_conversion current-sensing sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC6515315 (PMID 31010005)","none found on PMC record","none found on PMC record","Received 12 Feb 2019, accepted 9 Apr 2019; CC BY. Accessed 2026-07-28."
