task_id,artifact_scope,requested_model,requested_effort,observed_model,observed_effort,evidence_path,evidence_strength,downgrade,verdict
P2-ATLAS-ADJUDICATION,"adjudication/screening: Fable atlas adjudication of 16 lane briefs + stratified 80-record sample (demand vs enthusiasm); output sources/old06/10_SOURCE_ATLAS/ATLAS.md (present)","claude-fable-5",xhigh,"claude-fable-5 (performed by the orchestrator main thread in session 3, not a subagent dispatch; session-3 main-thread records are fable; sample-prep descriptions at transcript lines 5032/5034)","NOT_RECORDED (no runtime effort field exists)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 117/118); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl; sources/old06/05_STATE/PROGRESS_LOG.md (lines 16-17); sources/old06/10_SOURCE_ATLAS/ATLAS.md",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
P2A-01,"source screening: India origin audit batch 01 (70 records); first dispatch failed (auditor type unregistered) then general-purpose retry pinned to sonnet; outputs sources/old06/05_STATE/P2A_BATCHES/P2A-01_records.json + _audit.json","claude-sonnet-5","high (initial); unknown (retry; subagent effort not exposed)","claude-sonnet-5 (retry sidechain: 55 assistant records model=claude-sonnet-5, 0 fable, parent_tool_use_id=toolu_016CtQ8z5kvXE8Ctx9v1CNGw; failed first dispatch toolu_01DiDSkaWrfpC6GdEo6r65XE has zero sidechain records)","NOT_RECORDED (completion note: agent self-reported sonnet-5/high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 133/137/141/145); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatches lines 181, 211)",strong_runtime_sidechain,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-02,"source screening: India origin audit batch 02; outputs P2A-02_records.json + _audit.json","claude-sonnet-5","high (initial); unknown (retry)","claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 134/138/142/151); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (lines 183, 226)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-03,"source screening: India origin audit batch 03","claude-sonnet-5","high; unknown (retry)","claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 135/139/143/149); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (lines 185, 238)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-04,"source screening: India origin audit batch 04","claude-sonnet-5","high; unknown (retry)","claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 136/140/144/147); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (lines 187, 250)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-05,"source screening: India origin audit batch 05","claude-sonnet-5","unknown (effort not exposed)","claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 146/153); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 703)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-06,"source screening: India origin audit batch 06","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 148/155); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 811)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-07,"source screening: India origin audit batch 07","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 150/157); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 869)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-08,"source screening: India origin audit batch 08","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 152/159); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 958)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-09,"source screening: India origin audit batch 09","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 154/161); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1176)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-10,"source screening: India origin audit batch 10","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 156/162); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1327)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-11,"source screening: India origin audit batch 11 (L15-010 flag escalated to Fable adjudication)","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (log high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 158/163); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1368)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-12,"source screening: India origin audit batch 12 (final, 63 records; L16-045 anomaly flagged)","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (log high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 160/164); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1504)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-REPAIR-1,"repair/support: atlas repair of L01/L03/L05/L07 briefs (scrub excluded IDs and derivative claims)","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 165/170); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1869)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-REPAIR-2,"repair/support: atlas repair of L02/L04/L06/L08/L09/L11 briefs","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 166/168); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1886)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-REPAIR-3,"repair/support: atlas repair of L12-L16 briefs + ATLAS.md","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 167/169); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 1901)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2A-FABLE-ADJUDICATION,"adjudication/screening: independent P2A origin adjudication (80-record stratified sample + 42 exclusions + flags; 24 web checks); output sources/old06/99_AUDIT/P2A_FABLE_ORIGIN_ADJUDICATION.md (present; header claims Fable 5/xhigh)","claude-fable-5","xhigh (launcher-configured; inherit)","claude-fable-5 (sidechain: 183 assistant records model=claude-fable-5, 0 sonnet, parent_tool_use_id=toolu_011p6chZfZBMqbJbhRGGfqoE)","NOT_RECORDED (xhigh is request-side only; completion note: agent self-reported fable-5/xhigh)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 171/172); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 2739); sources/old06/99_AUDIT/P2A_FABLE_ORIGIN_ADJUDICATION.md",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P2A-PREFILTER,"source screening: India source-origin prefilter quarantining 27 confirmed India-origin records; executed 2026-07-12T23:56Z at india-patch installation time BETWEEN Claude sessions 3 and 4; NOT in the routing log","not recorded (no routing entry; no session transcript covers it)",not recorded,"UNKNOWN (no model execution record exists)",NOT_RECORDED,"sources/old06/05_STATE/INDIA_SOURCE_ORIGIN_PREFILTER.md; sources/old06/05_STATE/INDIA_SOURCE_ORIGIN_PREFILTER.json; sources/old06/05_STATE/PROGRESS_LOG.md (line 20, 23:56:53Z india-origin-prefilter checkpoint)",absent,not_recorded,UNKNOWN
SEEDS-A,"core idea-generation: P3 round-1 seed batch A process (18 seeds A01-A18); outputs sources/old06/20_OPPORTUNITY_POOL/SEEDS_A_process.json/.md (present; later edited by geography-patch reconciliation and superseded by P3R2 for the longlist)","claude-fable-5 (idea-architect model:inherit)","xhigh (agent frontmatter sources/old06/_claude_source/agents/idea-architect.md effort=xhigh)","claude-fable-5 (sidechain: 86 assistant records model=claude-fable-5, 0 sonnet, parent_tool_use_id=toolu_015qMq8Shvw5EjrdmiJDECR2)","NOT_RECORDED (xhigh is request-side only)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 119/127); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (dispatch line 5195)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
SEEDS-B,"core idea-generation: P3 round-1 seed batch B infrastructure (18 seeds); outputs SEEDS_B_infrastructure.json/.md (present)","claude-fable-5 (idea-architect model:inherit)","xhigh (frontmatter)","claude-fable-5 (sidechain: 40 fable records, 0 sonnet, parent toolu_01GRyVDjcds41SYgX1eZMcMd)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 120/125); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (dispatch line 5210)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
SEEDS-C,"core idea-generation: P3 round-1 seed batch C scientific (16 seeds); outputs SEEDS_C_scientific.json/.md (present)","claude-fable-5 (idea-architect model:inherit)","xhigh (frontmatter)","claude-fable-5 (sidechain: 48 fable records, 0 sonnet, parent toolu_012zKnLhHxf15kX8A1Kkk7UW)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 121/123); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (dispatch line 5234)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
SEEDS-D,"core idea-generation: P3 round-1 seed batch D transport-space (16 seeds); outputs SEEDS_D_transport_space.json/.md (present)","claude-fable-5 (idea-architect model:inherit)","xhigh (frontmatter)","claude-fable-5 (sidechain: 56 fable records, 0 sonnet, parent toolu_0154voYqHEbuZ4e4etJE85Bv)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 122/126); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (dispatch line 5269)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
SEEDS-W,"core idea-generation: P3 round-1 wildcard batch W; started 2026-07-12T19:48Z, ran on Fable (47 sidechain records) but has NO completion entry and NO SEEDS_W output artifacts anywhere in the corpus; session 3 ended before return; wildcards regenerated later as P3R2-D","claude-fable-5 (idea-architect model:inherit)","xhigh (frontmatter)","claude-fable-5 (sidechain: 47 fable records, 0 sonnet, parent toolu_01TZNZZ2YzptM8GtKEMQPejo); task outcome itself incomplete",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 124, started only); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (dispatch line 5641)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-A,"core idea-generation: P3R2 batch A US-pain seeds (22 seeds); outputs sources/old06/20_OPPORTUNITY_POOL/P3R2_A_us_pain.json/.md (present)","claude-fable-5","xhigh (registered idea-architect model=inherit effort=xhigh per routing entry)","claude-fable-5 (sidechain: 44 fable records, 0 sonnet, parent toolu_01JQ5s1KCavFy5efSKCUyVcg)","NOT_RECORDED (completion note: agent self-reported fable-5/xhigh; self-report is not runtime observation)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 173/177); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 3184)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-B,"core idea-generation: P3R2 batch B China-pain seeds (22 seeds); outputs P3R2_B_china_pain.json/.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 122 fable records, 0 sonnet, parent toolu_016q1pHqaFyFaSkkUhrZYPT3)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 174/179); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 3198)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-C,"core idea-generation: P3R2 batch C dual US-CN seeds (22 seeds); outputs P3R2_C_dual_us_cn.json/.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 69 fable records, 0 sonnet, parent toolu_01EuNrHNaCNWnDjJdrkjCDRE)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 175/181); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 3227)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-D,"core idea-generation: P3R2 batch D frontier wildcards (20 seeds); outputs P3R2_D_wildcards.json/.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 53 fable records, 0 sonnet, parent toolu_01E524s7U5pqPofCa1eM2Y1B)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 176/180); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 3274)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-E,"core idea-generation: P3R2 batch E JP/TW/KR side-market seeds (14 seeds); outputs P3R2_E_jptwkr_side.json/.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 117 fable records, 0 sonnet, parent toolu_01Kjr4uhy5GrT5NrHDwVKDAZ)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 178/182); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 3840)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-F,"core idea-generation: P3R2 targeted top-up wave F CN-credible seeds (23 seeds); outputs P3R2_F_cn_topup.json/.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 53 fable records, 0 sonnet, parent toolu_01EM6dYjt7qW3hYVBKkcs4zC)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 186/188); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 4385)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-G,"core idea-generation: P3R2 micro-wave G (3 CN-credible seeds on judge-named directions); outputs P3R2_G_cn_microwave.json/.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 66 fable records, 0 sonnet, parent toolu_016ybDjmi9dLjqcdFMSLxacw)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 192/193); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 4976)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-ELEGANCE-JUDGE,"adjudication/screening: independent elegance/novelty adjudication of all 100 P3R2 seeds (21 PROMOTE / 25 FIX / 54 REJECT); outputs P3R2_ELEGANCE_ADJUDICATION.md/.json (present)","claude-fable-5","xhigh (registered idea-elegance-judge model=inherit effort=xhigh)","claude-fable-5 (sidechain: 36 fable records, 0 sonnet, parent toolu_015FAZtwrecqPweTB9zApGvq)","NOT_RECORDED (xhigh request-side only)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 183/184); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 4214)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-ELEGANCE-JUDGE-R2,"adjudication/screening: judge round 2 (23 wave-F seeds + fix verification); outputs P3R2_ELEGANCE_ADJUDICATION_R2.md/.json (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 112 fable records, 0 sonnet, parent toolu_01VwEWRRLULdJy4xHG9Y7aSn)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 189/190); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 4694)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-ELEGANCE-JUDGE-R3,"adjudication/screening: judge micro-pass round 3 (3 G seeds + final longlist quota reckoning, GATES PASS); outputs P3R2_ELEGANCE_ADJUDICATION_R3.md/.json (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 80 fable records, 0 sonnet, parent toolu_01J5KGgEs3ju9gVqS337UJ2W)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 195/196); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 5290)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-FIXER,"core idea-generation (repair of raw seed corpus): application of judge R1 FIX repairs + merges/imports to P3R2 A-E seed files; log sources/old06/20_OPPORTUNITY_POOL/P3R2_FIX_APPLICATION_LOG.md (present)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 89 fable records, 0 sonnet, parent toolu_01PTZkvby581tqf38FK97cKH)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 185/187); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 4368)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-FIXER-2,"core idea-generation (repair): application of judge R2 fixes/merges to wave F seeds","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 70 fable records, 0 sonnet, parent toolu_01Br6fR8KoMPr7GSoTztTJmD)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 191/194); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 4964)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-FIXER-3,"core idea-generation (repair): application of judge R3 fixes to 3 G seeds; longlist frozen at 65 after this","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 89 fable records, 0 sonnet, parent toolu_011iRgxtjkKgGhJ1WEo8EWZq)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 197/198); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 5477)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P3R2-FOUNDER-FIT,"adjudication/screening: post-freeze founder-fit annotation of 65 longlist ideas (2/100 cap, no re-ranking)","claude-fable-5",xhigh,"claude-fable-5 (sidechain: 35 fable records, 0 sonnet, parent toolu_019sgfGYZoPBXwCMNuNURLyx)","NOT_RECORDED (completion note self-report is fable-5 without effort)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 199/200); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 5703); sources/old06/30_SCREENING/LONGLIST.md",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
P4-G01,"adjudication/screening: demand-competitor screen of ideas A-02/A-03/A-05/A-10/A-11; evidence file sources/old06/30_SCREENING/EVIDENCE/P4-G01_sources.json (present)","claude-sonnet-5","unknown (general-purpose pinned to sonnet; effort not exposed)","claude-sonnet-5 (sidechain: 130 sonnet records, 0 fable, parent toolu_01VCbvZC7VaeRP7k9RT55wAv)","NOT_RECORDED (agent self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 201/205); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 5820)",strong_runtime_sidechain,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G02,"adjudication/screening: demand-competitor screen A-13/A-14/A-16/A-21/A-22","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 202/211); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 5837)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G03,"adjudication/screening: demand-competitor screen B-01/B-06/B-14/B-22/C-01","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 203/207); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 5873)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G04,"adjudication/screening: demand-competitor screen C-02/C-03/C-04/C-05/C-07","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 204/209); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 5892)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G05,"adjudication/screening: demand-competitor screen C-08/C-09/C-12/C-13/C-19","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 206/215); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 7108)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G06,"adjudication/screening: demand-competitor screen C-21/C-22/D-01/D-02/D-07","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 208/213); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 7164)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G07,"adjudication/screening: demand-competitor screen D-08/D-09/D-10/D-11/D-12","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 210/217); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 7626)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G08,"adjudication/screening: demand-competitor screen D-13/D-16/D-18/D-19/D-20","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 212/219); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 7932)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G09,"adjudication/screening: demand-competitor screen E-02/E-04/E-11/E-14/F-01","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 214/221); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 8526)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G10,"adjudication/screening: demand-competitor screen F-02/F-03/F-04/F-05/F-06","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 216/223); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 8652)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G11,"adjudication/screening: demand-competitor screen F-07/F-09/F-10/F-11/F-12 (stray working file sources/old06/05_STATE/_tmp_g11_ideas.json)","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 218/224); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 8946)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G12,"adjudication/screening: demand-competitor screen F-15/F-16/F-17/F-19/F-20","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 220/225); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 9770)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-G13,"adjudication/screening: demand-competitor screen F-22/F-23/G-01/G-02/G-03 (final group)","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 222/226); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 10129)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-CURATION,"repair/support: P4 source-ledger curation (fetch repairs, honest T1 upgrades/demotions; cohort gate decision escalated)","claude-sonnet-5",unknown,"claude-sonnet-5 per paired orchestrator log + session-4 aggregate","NOT_RECORDED (self-report high)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 227/228); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (line 11085)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P4-SCORER-A,"adjudication/screening: Fable gate/score attempt for longlist ideas 1-33; session 4 interrupted; FAILED with no output; superseded by S1-S4 split","claude-fable-5",xhigh,"claude-fable-5 (sidechain before interruption: 85 fable records, 0 sonnet, parent toolu_01RjosbQxSmbyEQyQgVx1EqG); no output artifact produced","NOT_RECORDED","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 229/233); sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (dispatch line 11631)",strong_runtime_sidechain,none_recorded,PARTIAL_PROVENANCE
