evidence_id,topic_stream,claim,support_direction,paper_ids,study_types,conditions,measurement_quality,consistency,evidence_strength,limitations,phd_relevance,startup_relevance,downstream_use,falsifier
EV21,hts_quench_current,"No-insulation coil transient behavior including its failure boundary is experimentally characterized and engineerable: winding tension modifies NI coil electrical behavior (P0041, seminal 2013); sudden-discharge and overcurrent transients are modeled and measured (P0042, P0037); at 4.2 K a 655-turn NI coil quenched within about 450 ms on sudden discharge from >=350 A, and an appropriately designed 1.92 mOhm terminal shunt prevented the quench entirely — extending the discharge time constant from 4.37 s to 15.28 s and cutting peak radial stress from 428 MPa to 115 MPa (P0043)",supports,P0037;P0041;P0042;P0043,"primary_experiment plus simulation (P0043, P0037, P0042); primary_experiment (P0041)","4.2 K conduction-cooled operation at 350 A (P0043); 77 K-class lab coils (others)","P0043 opened this run: quantitative experiment-plus-FE study with a demonstrated engineered fix; P0037/P0041/P0042 metadata (P0037/P0041 live-checked by B12 verifier)","the MIT/Iwasa-lineage papers form a coherent, decade-long experimental program on NI transients","strong within the lineage; independence limited (largely one research lineage)","lab-scale coils; scaling to large magnets explicitly flagged by P0043's authors as requiring further validation; provenance: P0043 opened this run; P0037/P0041/P0042 B12 ledger (P0037/P0041 verifier-checked)","context: the HTS-magnet environment has engineered passive protections — any diagnostic value proposition must beat or complement them, not assume unprotected magnets","protection engineering reduces the addressable pain for quench-detection products at small scale; large-magnet scaling is the open commercial question","B25/B30","independent-group experiments contradicting the shunt-protection result or the fault-mode threshold class"
EV22,hts_quench_current,"Quench-simulation infrastructure for NI HTS coils is maturing and openly available: an open-source 3D finite-element tool (FiQuS/Pancake3D) performs coupled magneto-thermal quench simulation of NI pancake coils, reproducing screening-current behavior (about 30 mT residual axial field after source-current cessation in its demonstration case) (P0032); mechanical quench-protection responses are modeled independently (P0036)",supports,P0032;P0036,"software/method development with computational demonstration only (P0032); numerical simulation study (P0036)","double-pancake demonstration case with local critical-current degradation (P0032); HTS coil quench-protection scenarios (P0036)","P0032 opened this run: validation is computational only — no experimental comparison presented in the paper; P0036 cited at metadata level","consistent with P0007/P0040: the community converges on multiphysics NI models; open-source availability lowers replication cost","moderate — tool availability is solid; predictive validity against experiments is not established inside P0032","no experimental validation in P0032 itself; provenance: P0032 opened this run; P0036 B12-ledger metadata","directly relevant to B10 Element 3 (C10): the open-source ecosystem already contains a CERN-lineage NI quench tool — T0's differentiation must be estimator honesty/identifiability, not generic multiphysics simulation","open-source incumbents exist for magnet simulation; software-only offerings face free competition","B25/B30","experimental benchmarking showing the open-source tool materially mispredicts NI quench behavior"
EV23,hts_quench_current,"Non-voltage and advanced quench-detection modalities are an active frontier because voltage signatures are weak and EMI-buried: fiber-Bragg-grating thermoelastic strain rate gave 1-2 s of early warning before quench onset in YBCO tapes at about 78 K under 120-180 A transport current, versus voltage-based detection whose advance estimates overstate by about 3 s (P0033); microwave-based sensor-free detection is proposed for REBCO magnets and transmission lines (P0039, 2026); ML approaches address the same weak-signal problem (P0002, P0038)",supports,P0002;P0033;P0038;P0039,"primary_experiment plus COMSOL simulation (P0033); primary method development (P0039); ML benchmarks on real plus augmented data (P0002, P0038)","YBCO tapes at 78 K, 120-180 A, heater-triggered quenches, FBG multiplexed sensing (P0033); EAST magnets (P0038)","P0033 opened this run: honest multi-sensor comparison (FBG vs voltage taps vs thermocouples) with disclosed model-experiment discrepancies; P0039 metadata live-checked by B12 verifier","four independent groups pursue non-voltage or compensated-voltage detection, confirming the weak-signal problem P0007 predicts","moderate-to-strong for the frontier's existence and direction","P0033 is tape-level, not full-magnet; its simulation mismatches at distant positions are disclosed; P0039 not content-opened; provenance: P0033/P0038 opened this run; P0002 pilot; P0039 B12-verifier metadata check","frames the instrumentation niche the PhD's fast, EMI-robust measurement skills could serve (HTS magnet monitoring) — a skill-adjacency, not a demonstrated PhD deliverable","multi-modal magnet monitoring is an open niche with no dominant incumbent in the corpus","B25/B30","full-magnet trials showing strain/microwave modalities fail to retain their early-warning margin at system scale"
EV24,hts_quench_current,"Current distribution and resistance-transition behavior of HTS tapes and cables under overcurrent is measured and modeled across independent groups: terminal contact-resistance variations control current distribution in multi-tape cables (P0035); parallel-tape quench characteristics show inter-tape redistribution (P0034); 2G-tape resistance under overcurrent is characterized with equivalent-resistance estimation methods (P0044); and the temporal resistance evolution during superconducting-to-normal transition is measured (P0045)",supports,P0034;P0035;P0044;P0045,"primary_experiment (all four; P0044/P0045 with modeling components)","laboratory HTS tapes/cables under controlled overcurrent and transition conditions","qualitative adjudication — cited at B12-ledger metadata level (P0034/P0045 metadata live-checked by B12 verifier); specific resistance/current figures not extracted this run","four independent groups agree current redistribution among parallel paths is central to HTS conductor behavior — consistent with the NI-coil mechanism (P0007)","moderate for the sub-field's establishment","records not content-opened this run; quantitative claims deliberately omitted; provenance: B12 ledger (P0034/P0045 verifier-checked)","background physics for any current-diagnostic instrument aimed at HTS conductors","context for HTS-adjacent instrumentation; no direct product claim","B25/B30","opening the records and finding the redistribution/transition content materially different from the ledger characterization"
EV25,hts_quench_current,"Review-level synthesis (kept separate from primary evidence): mechanical issues — screening-current-amplified hoop stress reaching hundreds of MPa, REBCO shear strength below 10 MPa, delamination/cracking observed post-quench — are identified as the dominant reliability challenge for high-field HTS magnets; the 45.5 T record hybrid used a 14.4 T NI insert that was damaged after quenching; the review explicitly calls for reliable real-time stress/strain monitoring and states effective quench detection for HTS magnets remains to be explored (P0046)",supports,P0046,"review_synthesis over primary experiments including the authors' own record magnets","high-field (30-45 T class) REBCO magnet programs","review conclusions compiled from primaries; the 45.5 T damage account originates from the authors' own program (NHMFL/MIT lineage), lending first-hand weight; opened this run","consistent with P0033/P0038/P0039's premise (detection inadequate) and with P0043's stress numbers","moderate as a consensus map; the monitoring-gap statement is a review conclusion, not a measurement","review-level; specific stress figures were not independently traced to their primary sources this run; provenance: P0046 opened this run","the explicit real-time-monitoring call is the strongest corpus statement that an instrumentation gap exists in HTS magnets — adjacent to, but not identical with, the PhD's Hall/coil program","a named unmet need (real-time strain/stress/quench monitoring in high-field magnets) from a credible review — candidate niche, no ranking here","B25/B30","primary literature demonstrating deployed, reliable real-time monitoring that closes the review's stated gap"
EV26,hts_quench_current,"Gap: no paper in the 62-paper corpus applies a Hall/coil hybrid — or any Hall-sensor-based method — to HTS magnet quench detection or current-distribution monitoring; the demanding sensing environment (<=9 mV terminal signatures per P0007, residual >100 mV EMI after advanced compensation per P0038, strain-coupled signatures per P0033/P0046) defines an open instrumentation niche that the corpus's detection work addresses with voltage compensation, strain, microwave, and ML methods instead",gap,P0002;P0007;P0033;P0038;P0046,"absence-of-evidence across the stream's 17 papers","HTS magnet monitoring regimes","not applicable — gap row","consistent with B10 C27's own counterexample analysis, which flags persistent-mode SC magnets as a niche where a coil channel is dead weight (static field) — the open niche is charged/transient operation and current-distribution imaging, not persistent-mode absolute field","gap is firm within the corpus; absence is not proof of absence in the wider literature","corpus-bounded; B10 C27/C28 vetoed the SC-magnet lane for the hybrid on structural grounds — this gap row does not overturn that veto, it bounds what the corpus can say; provenance: mixed (see cited rows)","if the PhD direction ever targets HTS magnets, the corpus neither supports nor blocks it — but B10's own analysis (C27, C28) already vetoes the lane for the static-field use case","candidate niche only for transient/charging-phase monitoring; the static-field use case is structurally vetoed","GAPS.md; B25/B30","published Hall-array or hybrid-sensor HTS-magnet monitoring work located in newer literature"
EV27,power_conversion,"Switching-current measurement for WBG converters is a genuine open metrology problem with quantified requirements: minimum bandwidths around 50 MHz are stated for SiC switching with oscillation content, and no single sensing method simultaneously provides the needed size, bandwidth, linearity, isolation, accuracy, and cost (P0050, review); demonstrated partial solutions include a nonlinear-model-based current transformer achieving about 100 MHz bandwidth, 4% maximum error at 50 A, about $20 cost, and >5 kV insulation (P0048); PCB-embedded Rogowski coils with 84 turns and about 6.1 nH mutual inductance measure device transients with linear amplitude gain from 10 Hz to 1 MHz and resonance above 110 MHz, tested to 400 A (P0056); and integrated Rogowski sensors target press-pack IGBT chips (P0055)",supports,P0048;P0050;P0055;P0056,"review_synthesis (P0050); primary_experiment sensor designs (P0048, P0056, P0055)","WBG converter switching cells; nanosecond-class current rise times; up to 10-15 kV insulation targets (stated in P0048/P0050)","P0048/P0056 opened this run: quantitative designs with disclosed saturation/distortion limits; P0050 opened this run: explicit requirement synthesis","review and primaries agree: high-bandwidth isolated current sensing inside WBG converters is unsolved as a complete package","strong for the problem's existence and requirements; moderate for any specific solution","P0048 saturates at high currents (4% at 50 A, reset circuitry needed); P0056 distorts above about 500 A; both are AC-only (no DC content); P0055 cited at B12-ledger metadata level; provenance: P0048/P0050/P0056 opened this run","the single most concrete corpus evidence that the PhD's measurement-under-EMI and fused-channel skills address a named, quantified need in power electronics — the DC-capable half of the problem is exactly what CT/Rogowski solutions lack","a quantified unmet need (DC-to-100 MHz isolated compact current sensing in WBG converters) named by independent groups — candidate transfer target, no ranking here","B25/B30","2024-2026 literature showing a complete single-scheme sensor meeting all stated requirements simultaneously"
EV28,power_conversion,"DC-capable magnetic current sensing in power equipment is contested ground held largely by magnetoresistive technologies: multi-stage TMR sensors target AC/DC leakage detection (P0060), differential GMR designs measure non-contact DC/AC currents (P0061), and field-modulated spin-valve GMR handles quasi-static currents (P0062); the integration review states Hall sensors typically respond below 100 kHz with temperature/offset drift requiring compensation, while TMR outputs are EMI-susceptible and usually low-pass-filtered below about 50 kHz in switching environments (P0050)",mixed,P0050;P0060;P0061;P0062,"review_synthesis (P0050); primary_experiment sensor designs (P0060, P0061, P0062)","power-equipment leakage/current monitoring; converter-adjacent EMI environments","P0050 opened this run; P0060-P0062 cited at B12-ledger metadata level","consistent with B10 C43: TMR/GMR are the sharpest single-channel challengers for DC-capable sensing; P0050 adds their EMI weakness in switching environments — a weakness any Hall-based entrant equally must beat","moderate — the competitive landscape is well documented; head-to-head EMI-immunity data absent from corpus","no corpus paper directly benchmarks Hall vs TMR in an operating WBG converter; provenance: P0050 opened this run; P0060-P0062 B12-ledger metadata","sharpens B10 C43's competitive threat with corpus evidence — and identifies the EMI-immunity benchmark as the decisive missing comparison","any Hall-based current-sensing product must beat TMR on EMI immunity, temperature drift, or radiation tolerance — none of which is benchmarked head-to-head in this corpus","B25/B30; GAPS.md","a published head-to-head Hall-vs-TMR benchmark in a switching environment decisively favoring either side"
EV29,power_conversion,"Current sensing is being integrated directly into power semiconductors: a three-phase GaN motor-inverter power IC with on-chip current sensing was demonstrated (P0047, 2023) — the integration trend reduces long-run demand for external discrete current sensors in the power loop",mixed,P0047,"primary_experiment (power IC design and demonstration)","GaN power IC, motor-drive inverter context","adjudicated at B12-ledger metadata level; on-chip sensing performance figures not extracted this run","consistent with P0050's survey of sense-FET/integrated approaches and their accuracy limitations","moderate for the trend's existence","record not content-opened this run; integrated sensing typically trades accuracy/isolation for size — quantitative boundary not established here; provenance: B12-ledger metadata","a structural headwind for any external-sensor product thesis in power conversion; does not affect the fusion-diagnostics program","external current sensors face an integration headwind in volume power-electronics markets; niche/high-performance segments remain open","B25/B30","opening P0047 and finding integrated sensing meets isolation/accuracy needs across the power loop (strengthening the headwind), or failing badly (weakening it)"
EV30,power_conversion,"Specialized converter design is application-driven engineering built on the WBG device base: a piezoelectric-transformer-based high-voltage pulse generator using WBG switches was developed for medical electroporation (P0049), and hybrid multimodule DC-DC converters accelerated by WBG devices target EV systems (P0051) — in both, the differentiating work is application-specific topology/control, with measurement/characterization as supporting infrastructure",supports,P0049;P0051,"primary_experiment converter developments","medical electroporation pulse generation; EV DC-DC conversion","adjudicated at B12-ledger metadata level (both metadata live-checked by B12 verifier); performance figures not extracted this run","consistent with the review layer (P0005, P0006): device capability enables, applications differentiate","moderate for the structural observation","records not content-opened this run; provenance: B12 ledger plus verifier metadata checks","calibrates the transfer claim: the PhD direction contributes measurement/characterization capability to converter work, not converter-design capability — an enabling-infrastructure relationship, not direct transfer","specialized-converter ventures need application/topology expertise the PhD does not evidence; instrumentation partnerships are the realistic entry","B25/B30","opening the records and finding measurement/instrumentation, not topology/control, was the differentiating contribution"
EV31,power_conversion,"WBG device reliability and fabrication physics is its own active specialization: GaN-on-Si HEMT breakdown voltage depends on III-nitride/Si interface preconditioning (P0058); E/D-mode GaN inverter ICs are fabricated on 150 mm Si wafers with p-GaN gate technology (P0059); p-GaN gate reliability remains an active review subject (P0053) — this literature shares materials vocabulary with the PhD's AlGaN/GaN sensor work but addresses power-device engineering questions the PhD does not",supports,P0053;P0058;P0059,"primary_experiment device studies (P0058, P0059); review_synthesis (P0053)","wafer-scale GaN device fabrication and reliability testing","qualitative adjudication — cited at B12-ledger metadata level; specific device figures not extracted this run","internally consistent device-engineering literature","moderate for the structural observation","records not content-opened this run; provenance: B12-ledger metadata","supports the loose-analogy adjudication: shared GaN materials familiarity aids comprehension, but power-device reliability engineering is a distinct specialization from Hall-sensor metrology","GaN materials familiarity is a conversation-opener, not a competitive capability, in power-device markets","B25/B30","opening the records and finding substantial sensor-relevant (not power-device) content"
EV32,hybrid_diagnostics,"Gap: the coil-to-Hall (inductive-references-DC-channel) calibration direction is unsupported across all 62 corpus papers: fusion work fuses Hall into coil integration to remove drift (P0003); power-electronics work fuses TMR with current transformers with the transformer as the AC channel (P0031); the integration review recommends multi-scheme fusion but names no coil-referenced calibration of a DC channel (P0050); no paper in any stream calibrates a Hall or other DC-capable channel from a coil/inductive reference",gap,P0003;P0031;P0050,"absence-of-evidence across primary and review records in two domains","fusion diagnostics and power-electronics current sensing","not applicable — gap row","doubly consistent with B10: C23's Theorem-1 non-identifiability result explains WHY the unreferenced reverse direction cannot work (offset unrecoverable; gain only with trusted coil chain plus excursions), and C26 gap (b) claims the hardware demonstration as open ground","firm within the corpus; the wider-literature single precedent B10 cites (one non-fusion driven-ramp source, C30) was not located within this corpus either","corpus-bounded; the B10-cited single precedent is outside this corpus and was not independently verified this run; provenance: P0003 pilot; P0031 verifier metadata; P0050 opened this run","the reverse direction is simultaneously the PhD's most distinctive claim (C26 gap b) and its least externally supported one — FT-05 (bench coil-referenced gain recovery) is the decisive test and nothing in this corpus preempts it","novelty opportunity and feasibility risk in one: no one has published the reverse direction — possibly because structural constraints (C23) make it only conditionally useful","GAPS.md bridge tests; B25/B30","a published coil-referenced Hall-gain calibration located anywhere, which would close novelty gap (b) and simultaneously de-risk the method"
EV33,hybrid_diagnostics,"Gap: no stellarator-specific Hall-sensor, Hall+coil, or magnetic-field-mapping-with-Hall paper exists in the corpus — the fusion-facing magnetics work is tokamak (P0003 KSTAR-lineage, P0021 DIII-D, P0028 WEST, P0001 JET), RFP-class (P0024), or generic (P0020); this is consistent with, but does not prove, B10 C26's novelty gap (d) for stellarator Hall+coil field mapping",gap,P0001;P0003;P0020;P0021;P0024;P0028,"absence-of-evidence across the corpus's fusion-diagnostic records","stellarator field-mapping regime","not applicable — gap row","consistent with B10's 219/231-row ledgers, which also found no stellarator Hall+coil work (C26 gap d)","firm within the corpus; stellarator diagnostics literature outside magnetic Hall sensing exists but was outside B12's search scope","corpus-bounded absence; B12's queries covered stellarator terms per its search log, but a dedicated stellarator-diagnostics deep search was not this run's task; provenance: mixed (see cited rows)","preserves the PhD's most defensible novelty lane (HSX stellarator deployment, C01, plus C26 gap d) as unclaimed in this corpus","a first-mover instrumentation lane exists at HSX-class facilities; tiny market, high defensibility of the scientific claim","GAPS.md; B25/B30","published stellarator Hall-diagnostic work located in newer or uncaptured literature"
EV34,power_conversion,"Cross-domain convergence with a materials twist: fusion diagnostics (P0003) and power-electronics sensing (P0031, P0050) independently converge on fusing a DC-capable magnetic sensor with an inductive/AC channel to span bandwidth and remove drift — validating the architecture class the PhD pursues — but in power electronics the DC channel of choice is trending TMR (P0031, P0060), not Hall, and the review layer describes Hall as bandwidth-limited with drift burdens (P0050)",mixed,P0003;P0031;P0050;P0060,"simulation validation (P0003); primary_experiment (P0031, P0060); review_synthesis (P0050)","long-pulse fusion diagnostics; WBG converter and power-equipment sensing","as per constituent rows EV03/EV18/EV27/EV28","the convergence itself is consistent across three independent communities; the channel-technology choice diverges by domain","moderate-to-strong for the convergence; the Hall-vs-TMR outcome is unresolved in this corpus","no head-to-head benchmark exists in corpus (see EV28); provenance: P0050 opened this run; P0003 pilot; P0031 verifier metadata; P0060 B12-ledger metadata","the PhD's estimator/fusion methodology (C08, C10, C23) transfers across domains; the Hall-specific hardware choice must be defended per-regime (radiation tolerance is the un-benchmarked Hall differentiator — untested for GaN, C29)","the transferable asset is the fusion/estimator methodology and harsh-environment claim, not the Hall die per se","B25/B30","domain benchmarks resolving the DC-channel choice decisively against Hall in both domains"
EV35,hall_metrology,"Gap: no corpus paper performs traceable, uncertainty-budgeted calibration at fusion-relevant conditions — the traceable exemplar operates at +/-150 mT, room temperature, on gold/graphene sensors (P0008); the fusion-facing Hall work operates to +/-2.5 T in-machine on InSb/Sb with stability tracking but no GUM-style budget on the opened records (P0001, P0004); the most rigorous system-level calibration discipline in the corpus (0.1%-class element calibration, P0024) applies to coils on a 10 s-pulse machine; the tesla-scale, elevated-temperature, traceable-budget combination is absent",gap,P0001;P0004;P0008;P0024,"absence-of-evidence across the corpus's calibration-relevant records","tesla-scale fields, elevated temperature, in-machine conditions","not applicable — gap row","consistent across all calibration-relevant corpus rows; no counterexample found","firm within the corpus; national metrology institutes may have unindexed tesla-scale services — absence here is not proof of absence","corpus-bounded; commercial/NMI calibration services were outside B12's peer-reviewed-only scope; provenance: P0008/P0001/P0004 pilot opens; P0024 opened this run","WP-C (B10 C06) would, if executed to its stated targets (u(k)/k <= 2%), occupy a genuinely under-published niche — the corpus contains its method template (P0008) but not its regime","a traceable tesla-scale harsh-environment calibration capability would be scarce per this corpus — candidate differentiator, no ranking","GAPS.md bridge tests; B25/B30","published tesla-scale traceable Hall calibration with a full uncertainty budget located elsewhere"
